,city,lat,lng,country,LSOA,postcode
137,Milnrow,53.6101,-2.1111,United Kingdom,E01005556,OL164HG
138,Castleton,53.5907,-2.1737,United Kingdom,E01005477,OL112TB
139,Littleborough,53.644,-2.0980000000000003,United Kingdom,E01005522,OL158AT
140,Wardle,53.647,-2.132,United Kingdom,E01005593,OL129LQ
141,Salford,53.483,-2.2931,United Kingdom,E01005654,M65TE
142,Eccles,53.4824,-2.339,United Kingdom,E01005599,M300EJ
143,Walkden,53.5239,-2.3991,United Kingdom,E01005708,M283NJ
144,Swinton,53.5122,-2.3412,United Kingdom,E01005686,M276BD
145,Irlam,53.445,-2.422,United Kingdom,E01005620,M446NA
146,Little Hulton,53.53,-2.418,United Kingdom,E01005704,M389WG
147,Pendlebury,53.5075,-2.3154,United Kingdom,E01005699,M274HX
148,Barton upon Irwell,53.476000000000006,-2.36,United Kingdom,E01005603,M307AG
149,Worsley,53.5093,-2.3845,United Kingdom,E01005740,M282QP
150,Stockport,53.4083,-2.1494,United Kingdom,E01005872,SK14BT
151,Reddish,53.4383,-2.1613,United Kingdom,E01005893,SK5
152,Cheadle Hulme,53.3761,-2.1897,United Kingdom,E01005786,SK85AE
153,Marple,53.397,-2.061,United Kingdom,E01005885,SK66BE
154,Bramhall,53.357,-2.164,United Kingdom,E01005925,SK72DJ
155,Hazel Grove,53.375,-2.111,United Kingdom,E01005841,SK76AD
156,Bredbury,53.42,-2.113,United Kingdom,E01005751,SK62PF
157,Cheadle,53.3933,-2.2113,United Kingdom,E01005774,SK81ED
158,Disley,53.357,-2.043,United Kingdom,E01018587,SK122NP
159,Ashton,53.4897,-2.0952,United Kingdom,E01005948,OL67FY
160,Denton,53.4554,-2.1122,United Kingdom,E01005974,M34
161,Hyde,53.4474,-2.082,United Kingdom,E01006039,SK141DN
162,Stalybridge,53.4834,-2.04,United Kingdom,E01006069,SK152PL
163,Droylsden,53.4828,-2.1582,United Kingdom,E01006002,M436QD
164,Dukinfield,53.4739,-2.0828,United Kingdom,E01006011,SK164AS
165,Mossley,53.5147,-2.0387,United Kingdom,E01006058,OL59HL
166,Sale,53.424,-2.322,United Kingdom,E01006160,M337XL
167,Altrincham,53.3838,-2.3547,United Kingdom,E01006077,WA142QH
168,Stretford,53.4466,-2.3086,United Kingdom,E01006180,M328AE
169,Urmston,53.4487,-2.3747,United Kingdom,E01006128,M415QF
170,Davyhulme,53.4559,-2.3683,United Kingdom,E01006123,M415TP
171,Timperley,53.387,-2.3280000000000003,United Kingdom,E01006140,WA157QQ
172,Flixton,53.447,-2.391,United Kingdom,E01006130,M416QB
173,Bowdon,53.37600000000001,-2.366,United Kingdom,E01006085,WA143LY
174,Partington,53.42,-2.43,United Kingdom,E01006104,M314PU
175,Wigan,53.5448,-2.6318,United Kingdom,E01006369,WN11DY
176,Leigh,53.4975,-2.515,United Kingdom,E01006333,WN71AG
177,Hindley,53.5355,-2.5658,United Kingdom,E01006275,WN23NJ
178,Golborne,53.4758,-2.5943,United Kingdom,E01006342,WA33LU
179,Ashton in Makerfield,53.487,-2.641,United Kingdom,E01006265,WN49AZ
180,Atherton,53.523,-2.495,United Kingdom,E01006244,M460AB
181,Tyldesley,53.5166,-2.4667,United Kingdom,E01006295,M298AX
182,Ince-in-Makerfield,53.5402,-2.599,United Kingdom,E01006308,WN22TA
183,Lowton,53.471,-2.569,United Kingdom,E01006347,WA32PJ
184,Pemberton,53.536,-2.6738,United Kingdom,E01006359,WN59JY
185,Standish,53.58600000000001,-2.664,United Kingdom,E01006238,WN60TQ
186,Bryn,53.499,-2.657,United Kingdom,E01006266,WN40LW
187,Astley,53.5008,-2.4454,United Kingdom,E01006250,M297HU
188,Shevington,53.572,-2.69,United Kingdom,E01006312,WN68BZ
189,Abram,53.508,-2.588,United Kingdom,E01006212,WN25RZ
190,Kirkby,53.4826,-2.892,United Kingdom,E01006455,L325TH
191,Huyton,53.41,-2.843,United Kingdom,E01006475,L369US
192,Halewood,53.3599,-2.84,United Kingdom,E01006427,L260TB
193,Knowsley,53.4498,-2.8501,United Kingdom,E01006438,L340EW
194,Prescot,53.422,-2.814,United Kingdom,E01006464,L341NS
195,Roby,53.413,-2.852,United Kingdom,E01006451,L369WE
196,Liverpool,53.4,-2.9833,United Kingdom,E01033754,L15BY
197,Fazakerley,53.4676,-2.9408,United Kingdom,E01006654,L99DB
198,Deysbrook,53.429,-2.934,United Kingdom,E01006763,L13
199,West Derby,53.4338,-2.907,United Kingdom,E01006619,L125EB
200,Childwall,53.395,-2.881,United Kingdom,E01006580,L25
201,Eastham,53.313,-2.962,United Kingdom,E01007167,CH620AH
202,Dingle,53.3774,-2.9613,United Kingdom,E01032505,L17
203,Woolton,53.374,-2.865,United Kingdom,E01006798,L25
204,Aintree,53.4793,-2.9373,United Kingdom,E01007044,L9
205,Saint Helens,53.4541,-2.7461,United Kingdom,E01006877,WA102DX
206,Newton in Makerfield,53.45,-2.633,United Kingdom,E01006860,WA128LU
207,Thatto Heath,53.4352,-2.7481,United Kingdom,E01006907,WA95SB
208,Haydock,53.4678,-2.6609,United Kingdom,E01006842,WA110TP
209,Rainhill,53.4157,-2.7625,United Kingdom,E01006894,L350NU
210,Earlestown,53.45,-2.65,United Kingdom,E01006865,WA129GU
211,Eccleston,53.4539,-2.7748,United Kingdom,E01006822,WA105EF
212,Rainford,53.503,-2.783,United Kingdom,E01006882,WA118AR
213,Billinge,53.4932,-2.7129,United Kingdom,E01006807,WN57QE
214,Garswood,53.488,-2.67,United Kingdom,E01006808,WN40RX
215,Southport,53.6475,-3.0053,United Kingdom,E01006968,PR81AS
216,Bootle,53.4457,-2.9891,United Kingdom,E01006961,L207EW
217,Crosby,53.4872,-3.0343,United Kingdom,E01007109,L233AQ
218,Formby,53.5586,-3.0666,United Kingdom,E01007081,L373HE
219,Litherland,53.4727,-2.999,United Kingdom,E01006978,L219HP
220,Maghull,53.5174,-2.9449,United Kingdom,E01007095,L310AJ
221,Ainsdale,53.6021,-3.0405,United Kingdom,E01006921,PR83HL
222,Blundellsands,53.48,-3.05,United Kingdom,E01006942,L236SX
223,Lydiate,53.536,-2.959,United Kingdom,E01007067,L314EQ
224,Melling,53.495,-2.927,United Kingdom,E01007044,L311EP
225,Birkenhead,53.393,-3.014,United Kingdom,E01007126,CH415EU
226,Wallasey,53.4158,-3.0233,United Kingdom,E01007277,CH448BT
227,Moreton,53.401,-3.111,United Kingdom,E01007208,CH469QA
228,Upton,53.385,-3.099,United Kingdom,E01007298,CH490UB
229,Bebington,53.35,-3.003,United Kingdom,E01007152,CH637TD
230,Seacombe,53.409,-3.029,United Kingdom,E01007272,CH447HU
231,Bidston,53.402,-3.0780000000000003,United Kingdom,E01007120,CH437YF
232,New Brighton,53.432,-3.049,United Kingdom,E01007229,CH455BN
233,Bromborough,53.33600000000001,-2.978,United Kingdom,E01007135,CH623PB
234,Rock Ferry,53.37300000000001,-3.008,United Kingdom,E01007295,CH422AS
235,Heswall,53.328,-3.099,United Kingdom,E01007184,CH604RB
236,Woodchurch,53.375,-3.084,United Kingdom,E01007303,CH497NZ
237,Hoylake,53.39,-3.18,United Kingdom,E01007194,CH474AA
238,Great Meols,53.4014,-3.1553,United Kingdom,E01007199,CH477BT
239,Barnsley,53.5537,-1.4791,United Kingdom,E01007336,S702JJ
240,Penistone,53.525,-1.629,United Kingdom,E01007429,S366DY
241,Darton,53.585,-1.5325,United Kingdom,E01007358,S755HQ
242,Wombwell,53.51600000000001,-1.4,United Kingdom,E01007451,S730JY
243,Hoyland Nether,53.4985,-1.4406,United Kingdom,E01007389,S749AT
244,Cudworth,53.5784,-1.4149,United Kingdom,E01007345,S728SY
245,Royston,53.61,-1.45,United Kingdom,E01007438,S714FE
246,Darfield,53.538,-1.3812,United Kingdom,E01007352,S739DZ
247,Dodworth,53.5417,-1.5214,United Kingdom,E01007383,S753RF
